"Code","Club","Address","Observations","City"
"ABR","ABRERA, ASSOCIACIO D'ESCACS","Placa de les Escoles Velles s/n","",""
"AGU","AGUSTI, CENTRE D'ESPORT","Rambla Caputxins, 37, entlo.","Centro Gallego de Barcelona","BARCELONA"
"ALG","ALCOLETGE CLUB ESCACS","Plaça del Països Catalans, s/n ","Ludoteca dins del bar del pavelló municipal","ALCOLETGE"
"ALM","ALMENAR CLUB ESCACS","Antigues Escoles d'Almenar C/ Escoles, 1 ","entrada pel pati de C/ Cerés","ALMENAR"
"AEM","ALT EMPORDA, CLUB D'ESCACS","Ronda del Rector Arolas 4, edifici La Cate","Edifici La Cate, segon pis, porta de la dreta","FIGUERES"
"RBG","ALTA RIBAGORÇA CLUB ESCACS","Local social del Grup d?Empresa Ribagorçana (GER) Av. Victoriano Muñoz s/n davant caserna Mossos d?Esquadra. ","És a la carretera nacional, just abans d?arribar a la caserna dels Mossos d?Esquadra. ","EL PONT DE SUERT"
"AMI","AMISTAT DE PREMIA C.E.","Sant Antoni, 60-62 (Segona Planta)","","PREMIA DE MAR"
"AMP","AMPOSTA C.E.","Carrer Jaume I, 2","Hi ha un pàrquing públic gratuït a 50 m, al costat del riu Ebre.","AMPOSTA"
"ANJ","ARBITRES NO JUGADORS","Sant Adria 20","","Barcelona"
"ARM","ARENYS DE MUNT, CENTRE MORAL","Rambla Francesc Macia, 57","","ARENYS DE MUNT"
"CPA","ARGENTONA C.P. ESCACS","Bernat de Riudemia, 4","","ARGENTONA"
"ADS","ARTESA DE SEGRE, CLUB D'ESCACS","Pl. Nació Catalana 1","","Artesa de Segre"
"ACA","ASSOCIACIÓ CULTURAL ARMENIA DE BCN","Concili de Trento 16","","Barcelona"
"EPR","ASSOCIACIÓ D'ESCACS PEONS DE REUS","Carrer d'Abat Escarré 16 Baixos 1ª","","REUS"
"ATB","ATENEU BARCELONES, C.E.","Canuda, 6","","BARCELONA"
"COL","ATENEU COLON C.E.","Passatge Pere Ripoll, 11 ","El local està adaptat amb accés per a persones que tenen mobilitat reduïda. Els serveis també estan adaptats.","BARCELONA"
"GUI","ATENEU GUISSONA","Bisbal, 45","Ateneu de Guissona.","GUISSONA"
"AVI","AVINYO C.E.","Carrer del Mig, 23","","AVINYO"
"BAD","BADALONA C.E.","Olivera de Sistrells, 77 3r.","","BADALONA"
"CBA","BADIA, CLUB ESCACS I CULTURA","Biblioteca Vicente Aleixandre, avgda. de la Mediterrània s/n","","BADIA DEL VALLES"
"BSE","BAIX SEGRE, CLUB D'ESCACS","Hogar del jubilat- Plaça del poliesportiu","","MEQUINENSA"
"BLF","BALAFIA CLUB D'ESCACS","Terrassa, 1","","LLEIDA"
"BAL","BALAGUER C.E.","Xalet Montiu (baixos), C/Àngel Guimerà, 13","Entrada al local de joc per part posterior edifici, per Avgda. Francesc Macià (paral.lel al riu Segre)","BALAGUER"
"ESA","BALSARENY - SALLENT C.E.","C/.PONT, 39 (cant. C/.La Font)","","SALLENT"
"BLR","BALSARENY, U.E.","PLAÇA RICARD VIÑAS, 3 baixos","","BALSARENY"
"BAN","BANYOLES, C.E.","Carrer del Canat, s/n","","BANYOLES"
"BRD","BARAD, CLUB ESCACS","Carrer de Sant Quirze, 2, 08221 Terrassa, Barcelona","","TERRASSA"
"BAB","BARBERA C.E.","Torre d'En Gorgs,  40","","BARBERA DEL VALLES"
"BCN","BARCELONA, CLUB ESCACS","Julia Portet, 5 Pral.","","BARCELONA"
"BLC","BELLCAIRE D'URGELL CLUB ESCACS","DE LA SARDANA, S/N","ENTRADA PER EL BAR DEL POLIESPORTIU","BELLCAIRE D'URGELL"
"BEL","BELLPUIG C.E.","Plaça Sant Roc, 23","","BELLPUIG"
"BER","BERGUEDA C.E.","Pl. Doctor Salo, 6 3r.","","BERGA"
"BIS","BISBAL PENEDES, S.C.R.","Doctor Robert, 1","","LA BISBAL DEL PENEDES"
"BLA","BLANES C.E.","Mas Cuní, 43","","BLANES"
"ESC","C.E.R. L'ESCALA, CLUB D'ESCACS","Garbi, 6","El nom del club es tindria de completar amb el de CLUB D'ESCACS C.E.R. L'ESCALA","L'ESCALA"
"CAB","CABRERA DE MAR, CLUB ESCACS","Joan XXIII, 1","Centre Cívic de Cabrera de Mar","Cabrera de Mar"
"CAD","CADENA ESCACS","Carrer Química, 2 (baixos)","","BARCELONA"
"CAF","CALAF C.E.","Carretera Llarga, 11","","CALAF"
"CLF","CALAFELL C.E.","Plaça Alcalde Romeu, Espais culturals, 1º","","CALAFELL"
"CAL","CALDES DE MONTBUI C.E.","Carrer de Gregori Montserrat, 4","","CALDES DE MONTBUI"
"CLL","CALELLA C.E.","c/ Sant Jaume 112 soterrani Local McGregor's","","CALELLA"
"CDT","CALLDETENES C.E.","Plaça Onze de Setembre, s/n (Ajuntament, Auditori Teatre)","Entrada principal","Calldetenes"
"CAM","CAMBRILS, UNIO ESCACS","Avinguda Horta de Santa Maria 14, Cambrils","Ateneu Juvenil (Joventut Cambrils). La sala de joc és al subterrani, s'hi accedeix per una rampa bastant llarga   https://maps.app.goo.gl/5tVcKuHqcbEYB6wP7","CAMBRILS"
"CAN","CANET, CLUB ESCACS","Hotel d entitats Rial de mas Figuerola . 2  (piscina municipal )","","CANET DE MAR"
